ccode,polity_code,dispute,StYear,EndYear
850,INS,1,2005,2005
344,CRO,1,2005,2005
710,CHN,1,2005,2005
740,JPN,1,2005,2005
731,PRK,1,2005,2005
732,ROK,1,2005,2005
710,CHN,1,2005,2006
760,BHU,1,2005,2006
365,RUS,1,2006,2006
740,JPN,1,2006,2006
732,ROK,1,2006,2006
740,JPN,1,2006,2006
365,RUS,1,2006,2006
740,JPN,1,2006,2006
710,CHN,1,2007,2007
713,TAW,1,2007,2007
740,JPN,1,2007,2007
731,PRK,1,2007,2007
732,ROK,1,2007,2007
365,RUS,1,2008,2008
740,JPN,1,2008,2008
731,PRK,1,2008,2008
732,ROK,1,2008,2008
713,TAW,1,2008,2008
740,JPN,1,2008,2008
732,ROK,1,2009,2010
731,PRK,1,2009,2010
2,USA,1,2010,2010
365,RUS,1,2009,2009
740,JPN,1,2009,2009
365,RUS,1,2009,2009
710,CHN,1,2009,2009
710,CHN,1,2009,2009
2,USA,1,2009,2009
750,IND,1,2009,2009
710,CHN,1,2009,2009
710,CHN,1,2010,2010
816,VIE,1,2010,2010
710,CHN,1,2010,2010
740,JPN,1,2010,2010
731,PRK,1,2010,2010
710,CHN,1,2010,2010
710,CHN,1,2010,2010
740,JPN,1,2010,2010
740,JPN,1,2010,2010
713,TAW,1,2010,2010
732,ROK,1,2010,2010
710,CHN,1,2010,2010
160,ARG,1,2002,2002
365,RUS,1,2002,2002
101,VEN,1,2003,2003
100,COL,1,2003,2003
140,BRA,1,2003,2003
135,PER,1,2003,2003
42,DOM,1,2004,2004
41,HAI,1,2004,2004
130,ECU,1,2005,2005
100,COL,1,2005,2005
100,COL,1,2006,2006
130,ECU,1,2006,2006
101,VEN,1,2006,2006
100,COL,1,2006,2006
100,COL,1,2007,2007
130,ECU,1,2007,2007
100,COL,1,2008,2008
130,ECU,1,2008,2008
101,VEN,1,2008,2008
100,COL,1,2008,2008
130,ECU,1,2009,2009
100,COL,1,2009,2009
100,COL,1,2009,2009
101,VEN,1,2009,2009
2,USA,1,2010,2010
101,VEN,1,2010,2010
100,COL,1,2010,2010
101,VEN,1,2010,2010
94,COS,1,2010,2010
93,NIC,1,2010,2010
670,SAU,1,2002,2002
666,ISR,1,2002,2002
630,IRN,1,2002,2003
645,IRQ,1,2002,2003
666,ISR,1,2003,2003
652,SYR,1,2003,2003
2,USA,1,2003,2003
200,UKG,1,2003,2003
630,IRN,1,2003,2003
666,ISR,1,2003,2003
645,IRQ,1,2003,2003
630,IRN,1,2003,2003
645,IRQ,1,2003,2003
666,ISR,1,2003,2003
225,SWZ,1,2003,2003
2,USA,1,2003,2003
640,TUR,1,2003,2003
666,ISR,1,2003,2003
652,SYR,1,2003,2003
2,USA,1,2004,2004
652,SYR,1,2004,2004
630,IRN,1,2004,2004
2,USA,1,2004,2004
640,TUR,1,2004,2004
652,SYR,1,2004,2004
696,UAE,1,2004,2004
630,IRN,1,2004,2004
694,QAT,1,2004,2004
630,IRN,1,2004,2004
630,IRN,1,2004,2005
645,IRQ,1,2004,2005
2,USA,1,2004,2005
630,IRN,1,2004,2005
640,TUR,1,2004,2004
630,IRN,1,2004,2004
666,ISR,1,2004,2004
651,EGY,1,2004,2004
652,SYR,1,2005,2005
645,IRQ,1,2005,2005
2,USA,1,2005,2005
640,TUR,1,2005,2005
645,IRQ,1,2005,2005
630,IRN,1,2005,2005
645,IRQ,1,2005,2005
679,YEM,1,2005,2006
670,SAU,1,2005,2006
651,EGY,1,2006,2006
666,ISR,1,2006,2006
666,ISR,1,2006,2006
652,SYR,1,2006,2006
666,ISR,1,2006,2009
660,LEB,1,2006,2009
630,IRN,1,2006,2007
645,IRQ,1,2006,2007
2,USA,1,2007,2007
630,IRN,1,2007,2007
630,IRN,1,2007,2009
645,IRQ,1,2007,2009
640,TUR,1,2007,2009
645,IRQ,1,2007,2009
2,USA,1,2007,2007
630,IRN,1,2007,2007
666,ISR,1,2007,2007
652,SYR,1,2007,2007
2,USA,1,2008,2008
652,SYR,1,2008,2008
630,IRN,1,2008,2008
2,USA,1,2008,2008
666,ISR,1,2009,2009
220,FRN,1,2009,2009
630,IRN,1,2009,2009
645,IRQ,1,2009,2009
2,USA,1,2009,2009
666,ISR,1,2009,2009
651,EGY,1,2009,2009
666,ISR,1,2009,2010
660,LEB,1,2009,2010
630,IRN,1,2009,2010
645,IRQ,1,2009,2010
630,IRN,1,2010,2010
645,IRQ,1,2010,2010
666,ISR,1,2010,2010
630,IRN,1,2010,2010
390,DEN,1,2004,2004
20,CAN,1,2004,2004
20,CAN,1,2005,2005
235,POR,1,2005,2005
20,CAN,1,2005,2006
390,DEN,1,2005,2006
700,AFG,1,2002,2005
2,USA,1,2002,2005
770,PAK,1,2002,2005
775,MYA,1,2002,2002
800,THI,1,2002,2002
771,BNG,1,2002,2002
750,IND,1,2002,2002
750,IND,1,2002,2007
771,BNG,1,2002,2007
820,MAL,1,2003,2003
830,SIN,1,2003,2003
775,MYA,1,2003,2003
800,THI,1,2003,2003
775,MYA,1,2003,2003
800,THI,1,2003,2003
820,MAL,1,2004,2004
800,THI,1,2004,2004
850,INS,1,2004,2004
800,THI,1,2004,2004
770,PAK,1,2004,2004
750,IND,1,2004,2004
775,MYA,1,2004,2004
800,THI,1,2004,2004
790,NEP,1,2004,2005
750,IND,1,2004,2005
775,MYA,1,2004,2005
800,THI,1,2004,2005
750,IND,1,2004,2004
775,MYA,1,2004,2004
770,PAK,1,2005,2005
750,IND,1,2005,2005
820,MAL,1,2005,2005
850,INS,1,2005,2005
2,USA,1,2005,2005
770,PAK,1,2005,2005
811,CAM,1,2005,2005
800,THI,1,2005,2005
820,MAL,1,2005,2005
800,THI,1,2005,2005
2,USA,1,2005,2006
770,PAK,1,2005,2006
800,THI,1,2006,2006
820,MAL,1,2006,2006
700,AFG,1,2006,2006
770,PAK,1,2006,2006
800,THI,1,2006,2006
775,MYA,1,2006,2006
2,USA,1,2006,2010
770,PAK,1,2006,2010
700,AFG,1,2006,2007
770,PAK,1,2006,2007
